WANID	Provider	WANType	LineSpeed	UploadSpeed	DownloadSpeed	UploadShaping	WANNetwork	WANIP	CircuitID	LOCID	PhoneNumber	AssetTag	ServiceType
LDBRS195-1	TELUS	ADSL	NULL	NULL	NULL	775000	10.46.4.208/29	10.46.4.210	1354484	WST070-00	NULL	1141335-SO	NULL
LDBRS196-1	TELUS	ADSL	NULL	NULL	NULL	775000	10.46.4.216/29	10.46.4.218	1361382	NVA470-00	NULL	1141137-SO	NULL
LDBRS201-1	TELUS	STS WAN L3 VPN T1 CE	1.5Mbps	NULL	NULL	1475000	10.46.4.232/29	10.46.4.234	1333080	CLI010-00	250-753-1926	1333080-SO	NULL
LDBRS202-1	TELUS	ADSL	NULL	NULL	NULL	445000	10.46.4.240/29	10.46.4.242	1137909	NAK090-00	NULL	1137909-SO	NULL
LDBRS203-1	TELUS	STS WAN L3 VPN ADSL CE	NULL	NULL	NULL	875000	10.46.4.248/29	10.46.4.250	1348244	BUR310-00	604-434-8921	1348244-SO	NULL
LDBRS204-1	TELUS	ADSL	NULL	NULL	NULL	525000	10.46.5.0/29	10.46.5.2	1372737	SSP040-00	NULL	1140906-SO	NULL
LDBRS205-1	TELUS	STS WAN L3 VPN ADSL CE	NULL	NULL	NULL	875000	10.46.5.8/29	10.46.5.10	1348080	PMO115-00	6044692035	1348080-SO	NULL
LDBRS206-1	TELUS	ADSL	NULL	NULL	NULL	785000	10.46.5.16/29	10.46.5.18	1372878	CHM020-00	NULL	1141446-SO	NULL
LDBRS207-1	TELUS	ADSL	NULL	NULL	NULL	555000	10.46.5.24/29	10.46.5.26	1423278	SAM110-00	NULL	1138034-SO	NULL
LDBRS208-1	TELUS	STS WAN L3 VPN AADSL CE	NULL	NULL	NULL	805000	10.46.5.32/29	10.46.5.34	1347831	SQU440-00	6048150888	1347831-SO	NULL
LDBRS210-1	TELUS	ADSL CE	NULL	NULL	NULL	875000	10.46.5.48/29	10.46.5.50	1349266	VANLI0-00	6042639548	1349266-SO	NULL
LDBRS211-1	TELUS	STS TM-WAN L3 VPN Ver2 T1 CE	1.5Mbps	NULL	NULL	1475000	10.46.5.56/29	10.46.5.58	1333474	QCC160-00	2505594147	1333474	NULL
LDBRS212-1	TELUS	ADSL	NULL	NULL	NULL	585000	10.46.5.64/29	10.46.5.66	1361514	DAW150-00	250-782-9307	1361514-SO	NULL
LDBRS213-1	TELUS	STS WAN L3 VPN ADSL	NULL	NULL	NULL	875000	10.46.5.72/29	10.46.5.74	1410431	KIT060-00	NULL	1410431-SO	NULL
LDBRS214-1	TELUS	ADSL	NULL	NULL	NULL	555000	10.46.5.80/29	10.46.5.82	1432732	LUM090-00	NULL	1432732-SO	NULL
LDBRS215-1	TELUS	ADSL	NULL	NULL	NULL	495000	10.46.5.88 /29	10.46.5.90	1361892	ARM050-00	250-546-7184	1361892-SO	NULL
LDBRS216-1	TELUS	ADSL	NULL	NULL	NULL	435000	10.46.5.96/29	10.46.5.98	1375181	UCU190-00	250-726-7534	1375181-SO	NULL
LDBRS217-1	TELUS	STS WAN L3 VPN ADSL CE	NULL	NULL	NULL	445000	10.46.5.104/29	10.46.5.106	1354617	BUR720-00	604-205-1769	1354617-SO	NULL
LDBRS218-1	TELUS	STS WAN L3 VPN Fiber CE	10Mbps	NULL	NULL	9295000	10.46.5.112/29	10.46.5.114	1341490	VIC830-00	250-370-2407	1341490-LO	NULL
LDBRS220-1	TELUS	STS WAN L3 VPN ADSL	NULL	NULL	NULL	875000	10.46.5.120/29	10.46.5.122	1348909	BUR360-00	604-540-1654	1348909-SO	NULL
LDBRS221-1	TELUS	ADSL	NULL	NULL	NULL	775000	10.46.7.160/29	10.46.7.162	1140837	HUN001-00	NULL	1407795-SO	NULL
LDBRS222-1	TELUS	NTM WAN L3 VPN 1.5 Mbps T1	NULL	NULL	NULL	NULL	10.46.5.136/29	10.46.5.138	1352117	FNE070-00	250-774-6623	1352117-SO	NULL
LDBRS223-1	TELUS	STS WAN L3 VPN ADSL CE	NULL	NULL	NULL	875000	10.46.5.144/29	10.46.5.146	1348646	KAM700-00	2503760487	1348646-SO	NULL
LDBRS225-1	TELUS	STS WAN L3 VPN T1 CE	1.5Mbps	NULL	NULL	1475000	10.46.5.152/29	10.46.5.154	1333067	ALT050-00	250-974-3128	1333067-MO	NULL
LDBRS226-1	TELUS	ADSL	NULL	NULL	NULL	825000	10.46.5.160/29	10.46.5.162	1408406	CHS020-00	NULL	1408406-SO	NULL
LDBRS227-1	TELUS	STS WAN L3 VPN T1 CE	1.5Mbps	NULL	NULL	1475000	10.46.5.168/29	10.46.5.170	1333438	HAZ240-00	2508425981	1333438-MO	NULL
LDBRS228-1	TELUS	STS WAN L3 VPN Fibre CE	10Mbps	NULL	NULL	9295000	10.46.5.176/29	10.46.5.178	1313076	WVABB0-00	604-913-6149	1313076-LO	NULL
LDBRS229-1	TELUS	STS WAN L3 VPN ADSL CE	NULL	NULL	NULL	835000	10.46.5.184/29	10.46.5.186	1354431	SOO040-00	250-642-0827	1354431-SO	NULL
LDBRS230-1	TELUS	ADSL	NULL	NULL	NULL	475000	10.46.5.192/29	10.46.5.194	1403326	SEC310-00	NULL	1140870-SO	NULL
LDBRS231	TELUS	Fiber	10M	NULL	NULL	NULL	10.46.5.200/29	10.46.5.202	1138695	VICAA0-00	NULL	1138695-SO	NULL
LDBRS231-1	TELUS	STS WAN L3 VPN Fiber CE	10Mbps	NULL	NULL	9295000	10.46.5.200/29	10.46.5.202	1344668	VIC990-00	2503889723	1344668	NULL
LDBRS232-1	TELUS	STS WAN L3 VPN T1 CE	1.5Mbps	NULL	NULL	1475000	10.46.5.208/29	10.46.5.210	1333117	BEL120-00	250-799-5690	1333117-MO	NULL
LDBRS233-1	TELUS	ADSL	NULL	NULL	NULL	875000	10.46.6.80/29	10.46.6.82	1348878	VANDN0-00	NULL	1348878-SO	NULL
LDBRS234-1	TELUS	T1 CE	1.5Mbps	NULL	NULL	1475000	10.46.5.216/29	10.46.5.218	1333448	HUD090-00	2507839297	1333448-MO	NULL
LDBRS235-1	TELUS	STS WAN L3 VPN Fiber CE	NULL	NULL	NULL	835000	10.46.5.224 /29	10.46.5.226	1372342	COM065-00	NULL	1372342-SO	NULL
LDBRS236-1	TELUS	ADSL	NULL	NULL	NULL	435000	10.46.5.232/29	10.46.5.234	1141015	PHA120-00	NULL	1141015-SO	NULL
LDBRS237-1	TELUS	ADSL CE	NULL	NULL	NULL	875000	10.46.5.240 /29	10.46.5.242	1318862	VANGE0-00	604-708-3760	1318862-SO	NULL
LDBRS238-1	TELUS	ADSL	NULL	NULL	NULL	885000	10.46.5.248/29	10.46.5.250	1433532	CHT150-00	250-788-1736	1433532-SO	NULL
LDBRS240-1	TELUS	ADSL CE	NULL	NULL	NULL	875000	10.46.6.0/29	10.46.6.2	1348507	SUR740-00	604-583-4696	1348507-SO	NULL
LDBRS241-1	TELUS	STS WAN L3 VPN Fiber CE	10Mbps	NULL	NULL	9295000	10.46.6.8/29	10.46.6.10	1344642	SUR960-00	7785900862	1344642-LO	NULL
LDBRS242-1	TELUS	ADSL	NULL	NULL	NULL	495000	10.46.6.16/29	10.46.6.18	1141249	VICBF0-00	NULL	1141249-SO	NULL
LDBRS242-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.71.4.251/30	184.71.4.254	1281780447	NULL	NULL	NULL	BI 50
LDBRS243-1	TELUS	STS WAN L3 VPN Fiber CE	10Mbps	NULL	NULL	9295000	10.46.6.24/29	10.46.6.26	1332777	NAN490-00	2507531926	1332777-LO	NULL
LDBRS244-1	TELUS	STS L3 WAN VPN ADSL CE	NULL	NULL	NULL	875000	10.46.6.32/29	10.46.6.34	1348515	RIC470-00	6042710317	1348515-SO	NULL
LDBRS245-1	TELUS	ADSL	NULL	NULL	NULL	775000	10.46.6.40/29	10.46.6.42	1406032	RAD050-00	NULL	1137763-SO	NULL
LDBRS247-1	TELUS	ADSL	NULL	NULL	NULL	785000	10.46.6.48/29	10.46.6.50	1138512	NVA360-00	NULL	1138512-SO	NULL
LDBRS248-1	TELUS	ADSL	NULL	NULL	NULL	445000	10.46.6.56/29	10.46.6.58	1141488	FJA200-00	NULL	1141488-SO	NULL
LDBRS279-1	TELUS	ADSL	NULL	NULL	NULL	NULL	10.45.100.0/25	10.45.100.3	1318094	NULL	NULL	NULL	NULL
LDBRS281-1	TELUS	ADSL CE	NULL	NULL	NULL	NULL	10.46.7.80/29	10.46.7.82	1346026	N/A	6048019613	1346026-SO	NULL
LDBRS281-2	TELUS	ADSL	NULL	NULL	NULL	NULL	10.46.7.80/29	10.46.7.82	1318257	NULL	NULL	NULL	NULL
LDBRS300-1	TELUS	STS WAN L3 VPN ADSL CE	NULL	NULL	NULL	875000	10.46.6.64/29	10.46.6.66	1312911	VAN570-00	604-251-9558	1312911-SO	NULL
LDBRS300-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.68.19.16/30	184.68.19.18	1418254401	NULL	NULL	NULL	BI 50
LDBRS302-1	TELUS	STS WAN L3 VPN ADSL CE	NULL	NULL	NULL	495000	10.46.6.72/29	10.46.6.74	1354526	WST050-00	NULL	1140030-SO	NULL
LDBRS340-1	TELUS	ADSL	NULL	NULL	NULL	NULL	10.46.7.104/29	10.46.7.106	1382835	PRG440-00	NULL	1143487-SO	NULL
LDBRS341-1	TELUS	STS Wan L3 VPN ADSL CE	NULL	NULL	NULL	NULL	10.46.7.112/29	10.46.7.114	1321443	KELCI0-00	250-868-4983	1321443-SO	NULL
LDBRS996-1	TELUS	ADSL	NULL	NULL	NULL	NULL	10.46.27.224/29	10.46.27.226	0000000	NULL	NULL	NULL	NULL
LDBRS998-1	TELUS	ADSL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
LDBRS999-1	TELUS	ADSL	NULL	NULL	NULL	NULL	10.46.0.0/29	10.46.0.2	000000	NULL	NULL	NULL	NULL
LDBRSITL1	TELUS	ADSL	NULL	NULL	NULL	NULL	10.45.100.0/25	10.45.100.2	1318094	NULL	NULL	NULL	NULL
LDNRS996-10	TELUS	ADSL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
LDBRS003-2	SHAW	Cable	NULL	NULL	NULL	NULL	96.53.126.168/30	96.53.126.170	1881136410	NULL	NULL	NULL	BI 50
LDBRS005-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.69.171.48/30	184.69.171.50	1281780497	NULL	NULL	NULL	BI 50
LDBRS006-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.68.131.72/30	184.68.131.74	1418685123	NULL	NULL	NULL	BI 50
LDBRS007-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.68.128.8/30	184.68.128.10	1881136339	NULL	NULL	NULL	BI 50
LDBRS009-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.69.223.236/30	184.69.223.238	1881136020	NULL	NULL	NULL	BI 50
LDBRS010-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.69.18.4/30	184.69.18.6 	1281781930	NULL	NULL	NULL	BI 50
LDBRS012-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.69.172.16/30	184.69.172.18	1281835357	NULL	NULL	NULL	BI 50
LDBRS013-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.69.222.120/30	184.69.222.122	1881108988	NULL	NULL	NULL	BI 50
LDBRS015-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.68.45.44/30	184.68.45.46	1881147178	NULL	NULL	NULL	BI 50
LDBRS016-2	SHAW	Cable	NULL	NULL	NULL	NULL	24.207.36.104/29	24.207.36.106	NULL	NULL	NULL	8125132310030816	BI 50
LDBRS017-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.71.40.192/30	184.71.40.194	1881148784	NULL	NULL	NULL	BI 50
LDBRS024-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.69.11.36/30	184.69.11.38	1281838949	NULL	NULL	NULL	BI 50
LDBRS025-2	SHAW	Cable	NULL	NULL	NULL	NULL	24.207.39.40/29	24.207.39.42	NULL	NULL	NULL	8125223920497543	BI 50
LDBRS027-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.68.28.88/30	184.68.28.90	1418485117	NULL	NULL	NULL	BI 50
LDBRS029-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.71.157.184/30	184.71.157.186	1881151884	NULL	NULL	NULL	BI 50
LDBRS031-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.71.135.148/30	184.71.135.150	1418526418	NULL	NULL	NULL	BI 50
LDBRS032-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.68.45.8/30	184.68.45.10	1881141669	NULL	NULL	NULL	BI 50
LDBRS034-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.69.105.64/30	184.69.105.66	1281796480	NULL	NULL	NULL	BI 50
LDBRS035-2	SHAW	Cable	NULL	NULL	NULL	NULL	69.176.176.0/24	69.176.176.58	200200870	NULL	NULL	NULL	BI 50
LDBRS038-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.71.183.176/30	184.71.183.178	1419195676	NULL	NULL	NULL	BI 50
LDBRS040-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.69.171.184/30	184.69.171.186	1281819254	NULL	NULL	NULL	BI 50
LDBRS041-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.69.172.32/30	184.69.172.34	1281827401	NULL	NULL	NULL	BI 50
LDBRS043-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.70.229.152/30	184.70.229.154	1881137547	NULL	NULL	NULL	BI 50
LDBRS045-2	TELUS	ADSL	NULL	NULL	NULL	NULL	50.98.16.0/22	50.98.17.234	NULL	NULL	NULL	NULL	NULL
LDBRS046-2	SHAW	Cable	NULL	NULL	NULL	NULL	209.145.117.0/24	209.145.117.22	200200870	NULL	NULL	NULL	BI 50
LDBRS048-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.68.48.88/30	184.68.48.90	1881248568	NULL	NULL	NULL	BI 50
LDBRS050-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.69.171.216/30	184.69.171.218	1281825831	NULL	NULL	NULL	BI 50
LDBRS051-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.68.45.112/30	184.68.45.114	1881155537	NULL	NULL	NULL	BI 50
LDBRS052-2	SHAW	Cable	NULL	NULL	NULL	NULL	199.127.172.0/24	199.127.172.9	200200870	NULL	NULL	NULL	BI 50
LDBRS053-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.68.134.96/30	184.68.134.98	1418743298	NULL	NULL	NULL	BI 50
LDBRS059-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.69.172.88/30	184.69.172.90	1281842998	NULL	NULL	NULL	BI 50
LDBRS063-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.68.44.172/30	184.68.44.174	1881137270	NULL	NULL	NULL	BI 50
LDBRS065-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.68.29.0/30	184.68.29.2	1418505608	NULL	NULL	NULL	BI 50
LDBRS066-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.68.96.48/30	184.68.96.50	1881147411	NULL	NULL	NULL	BI 50
LDBRS069-2	SHAW	Cable	NULL	NULL	NULL	NULL	24.207.4.112/29	24.207.4.114	BPSO: 24765	NULL	NULL	NULL	BI20
LDBRS070-2	SHAW	Cable	NULL	NULL	NULL	NULL	96.53.69.196/30	96.53.69.198	1418467787	NULL	NULL	NULL	BI 50
LDBRS071-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.68.133.160/30	184.68.133.162	1881196533	NULL	NULL	NULL	BI 50
LDBRS072-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.68.142.184/30	184.68.142.186	1418960565	NULL	NULL	NULL	BI 50
LDBRS075-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.68.96.160/30	184.68.96.162	1881154222	NULL	NULL	NULL	BI 50
LDBRS076-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.68.31.88/30	184.68.31.90	1418572841	NULL	NULL	NULL	BI 50
LDBRS077-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.68.28.164/30	184.68.28.166	1418572710	NULL	NULL	NULL	BI 50
LDBRS078-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.68.45.208/30	184.68.45.210	1881160671	NULL	NULL	NULL	BI 50
LDBRS079-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.68.44.184/30	184.68.44.186	1881137432	NULL	NULL	NULL	BI 50
LDBRS080-2	SHAW	Cable	NULL	NULL	NULL	NULL	24.207.4.32/29	24.207.4.34	BPSO: 24766	NULL	NULL	NULL	BI 50
LDBRS083-2	SHAW	Cable	NULL	NULL	NULL	NULL	24.207.36.112/29	24.207.36.114	BPSO: 24768	NULL	NULL	NULL	BI 50
LDBRS086-2	SHAW	Cable	NULL	NULL	NULL	NULL	NULL	184.68.45.202	1881160427	NULL	NULL	NULL	BI 50
LDBRS089-2	SHAW	Cable	NULL	NULL	NULL	NULL	NULL	184.68.130.98	1418658516	NULL	NULL	NULL	BI 50
LDBRS090-2	SHAW	Cable	NULL	NULL	NULL	NULL	NULL	184.68.25.186	1418467923	NULL	NULL	NULL	BI 50
LDBRS094-2	SHAW	Cable	NULL	NULL	NULL	NULL	NULL	184.68.25.106	1418456875	NULL	NULL	NULL	BI 50
LDBRS097-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.68.130.64/30	184.68.130.66	1418658087	NULL	NULL	NULL	BI 50
LDBRS098-2	SHAW	Cable	NULL	NULL	NULL	NULL	24.207.39.32/29	24.207.39.34	224383	NULL	NULL	8125223920490746	BI 50
LDBRS100-2	SHAW	Cable	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	BI 50
LDBRS101-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.68.130.56/30	184.68.130.58	1418657992	NULL	NULL	NULL	BI 50
LDBRS102-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.68.31.224/30	184.68.31.226	1418582804	NULL	NULL	NULL	BI 50
LDBRS107-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.68.25.192/30	184.68.25.194	1418467818	NULL	NULL	NULL	BI 50
LDBRS109-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.68.133.8/30	184.68.133.10	1418720931	NULL	NULL	NULL	BI 50
LDBRS110-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.68.132.224/30	184.68.132.226	1418719231	NULL	NULL	NULL	BI 50
LDBRS111-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.68.0.156/30	184.68.0.158	1418619300	NULL	NULL	NULL	BI 50
LDBRS112-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.68.24.240/30	184.68.24.242	1418438160	NULL	NULL	NULL	BI 50
LDBRS113-2	SHAW	Cable	NULL	NULL	NULL	NULL	96.53.32.194/30	96.53.32.194	1418506222	NULL	NULL	NULL	BI 50
LDBRS117-2	SHAW	Cable	NULL	NULL	NULL	NULL	96.53.51.112/30	96.53.51.114	1418438398	NULL	NULL	NULL	BI 50
LDBRS118-2	TELUS	ADSL	NULL	NULL	NULL	NULL	205.250.156.0/22	205.250.159.185	13747	NULL	NULL	NULL	BI 50
LDBRS120-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.71.167.108/30	184.71.167.110	1418518960	NULL	NULL	NULL	BI 50
LDBRS122-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.68.129.104/30	184.68.129.106	1418640254	NULL	NULL	NULL	BI 50
LDBRS123-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.68.130.80/30	184.68.130.82	1418658184	NULL	NULL	NULL	BI 50
LDBRS124-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.71.31.72/30	184.71.31.74	1281773181	NULL	NULL	NULL	BI 50
LDBRS125-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.69.171.248/30	184.69.171.250	1281826764	NULL	NULL	NULL	BI 50
LDBRS130-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.68.45.224/30	184.68.45.226	1881160370	NULL	NULL	NULL	BI 50
LDBRS133-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.68.160.248/30	184.68.160.250	1419649049	NULL	NULL	NULL	BI 50
LDBRS135-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.68.48.128/30	184.68.48.130	1881249611	NULL	NULL	NULL	BI 50
LDBRS136-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.68.134.232/30	184.68.134.234	1418763329	NULL	NULL	NULL	BI 50
LDBRS137-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.68.146.72/30	10.46.7.74	1419121805	NULL	NULL	NULL	BI 50
LDBRS140-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.71.28.60/30	184.71.28.62	1281773131	NULL	NULL	NULL	BI 50
LDBRS143-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.71.99.232/30	184.71.99.234	1881106504	NULL	NULL	NULL	BI 50
LDBRS145-2	SHAW	Cable	NULL	NULL	NULL	NULL	24.207.43.96/29	24.207.43.98	24382	NULL	NULL	8125223920490738	BI 50
LDBRS148-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.68.42.194/30	184.68.42.194	1881110197	NULL	NULL	NULL	BI 50
LDBRS149-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.68.129.56/30	184.68.129.58	1418633809	NULL	NULL	NULL	BI 50
LDBRS150-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.69.172.128/30	184.69.172.130	1281853313	NULL	NULL	NULL	BI 50
LDBRS152-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.68.128.248/30	184.68.128.250	1418632463	NULL	NULL	NULL	BI 50
LDBRS153-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.68.132.80/30	184.68.132.82	1418711411	NULL	NULL	NULL	BI 50
LDBRS154-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.68.48.104/30	184.68.48.106	1881251113	NULL	NULL	NULL	BI 50
LDBRS157-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.69.182.120/30	184.69.182.122	1282392093	NULL	NULL	NULL	BI 50
LDBRS163-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.68.132.44/30	184.68.132.46	1418709799	NULL	NULL	NULL	BI 50
LDBRS165-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.68.132.220/30	184.68.132.222	1418719223	NULL	NULL	NULL	BI 50
LDBRS166-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.68.45.248/30	184.68.45.250	1881165794	NULL	NULL	NULL	BI 50
LDBRS170-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.68.133.56/30	184.68.133.58	1881192246	NULL	NULL	NULL	BI 50
LDBRS172-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.68.128.112/30	184.68.128.114	1418613045	NULL	NULL	NULL	BI 50
LDBRS173-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.71.21.236/30	184.71.21.238	1281856141	NULL	NULL	NULL	BI 50
LDBRS174-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.71.104.24/30	184.71.104.26	1881129659	NULL	NULL	NULL	BI 50
LDBRS175-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.68.134.216/30	184.68.134.218	1418763109	NULL	NULL	NULL	BI 50
LDBRS177-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.68.133.120/30	184.68.133.122	1418730978	NULL	NULL	NULL	BI 50
LDBRS179-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.68.132.136/30	184.68.132.138	1418714419	NULL	NULL	NULL	BI 50
LDBRS181-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.69.173.88/30	184.69.173.90	1281881405	NULL	NULL	NULL	BI 50
LDBRS182-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.68.30.168/30	184.68.30.170	1418564482	NULL	NULL	NULL	BI 50
LDBRS183-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.68.128.128/30	184.68.128.130	1418613100	NULL	NULL	NULL	BI 50
LDBRS185-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.69.173.16/30	184.69.173.18	1281870585	NULL	NULL	NULL	BI 50
LDBRS186-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.68.134.200/30	184.68.134.202	1418762941	NULL	NULL	NULL	BI 50
LDBRS188-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.69.171.168/30	184.69.171.170	1281818355	NULL	NULL	NULL	BI 50
LDBRS189-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.68.128.144/30	184.68.128.146	1418615348	NULL	NULL	NULL	BI 50
LDBRS191-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.68.134.208/30	184.68.134.210	1418764430	NULL	NULL	NULL	BI 50
LDBRS192-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.68.135.132/30	184.68.135.134	1418775871	NULL	NULL	NULL	BI 50
LDBRS193-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.68.133.112/30	184.68.133.114	1418730889	NULL	NULL	NULL	BI 50
LDBRS194-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.68.135.36/30	184.68.135.38	1418768442	NULL	NULL	NULL	BI 50
LDBRS196-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.68.135.20/30	184.68.135.22	1418768078	NULL	NULL	NULL	BI 50
LDBRS203-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.68.135.12/30	184.68.135.14	1418767886	NULL	NULL	NULL	BI 50
LDBRS204-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.69.163.16/30	184.69.163.18	1281816222	NULL	NULL	NULL	BI 50
LDBRS205-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.71.159.64/30	184.71.159.66	1418776712	NULL	NULL	NULL	BI 50
LDBRS208-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.68.15.32/30	184.68.15.34	1418710986	NULL	NULL	NULL	BI 50
LDBRS210-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.68.138.16/30	184.68.138.18	1418845139	NULL	NULL	NULL	BI 50
LDBRS212-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.69.249.216/30	184.69.249.218	1881710484	NULL	NULL	NULL	BI 50
LDBRS217-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.68.133.172/30	184.68.133.174	1418731712	NULL	NULL	NULL	BI 50
LDBRS218-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.69.175.32/30	184.69.172.34	1281965754	NULL	NULL	NULL	BI 50
LDBRS220-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.68.31.104/30	184.68.31.106	1418573211	NULL	NULL	NULL	BI 50
LDBRS221-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.71.97.88/30	184.71.97.90	1881188962	NULL	NULL	1882257007	BI 50
LDBRS223-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.68.43.236/30	184.68.43.238	1881102217	NULL	NULL	NULL	BI 50
LDBRS228-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.69.146.0/30	184.69.146.2	1422996277	NULL	NULL	NULL	BI 50
LDBRS229-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.69.173.32/30	184.69.173.34	1281873193	NULL	NULL	NULL	BI 50
LDBRS230-2	SHAW	Cable	NULL	NULL	NULL	NULL	24.207.4.26/29	24.207.4.26	BPSO: 24769	NULL	NULL	NULL	BI 50
LDBRS231-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.69.171.208/30	184.69.171.210	1281825467	NULL	NULL	NULL	BI 50
